Frm,Track,xc,yc,w,h,Velocity(kmph),,
37,19,3340,736,44,29,5.4267582,,
37,5,2491,403,87,48,1.380106719,,
37,21,1965,138,37,101,36.6147378,,
38,12,3466,1910,176,99,0.718304159,,
38,20,3347,704,54,28,2.647867552,,
38,6,2476,454,87,52,0.670451093,,
38,13,1870,1231,48,85,15.1818783,,
38,4,2390,393,85,53,0.942047743,,
38,23,2682,697,64,35,11.9256326,,
38,8,2526,641,77,64,0.610794958,,
38,10,2690,659,91,52,2.975950359,,
38,15,3635,647,115,44,1.226707858,,
38,14,1737,1480,92,65,26.2887671,,
38,11,2313,626,91,135,2.575122381,,
38,3,2529,997,136,73,37.79393232,,
38,7,2826,649,83,59,2.161275584,,
38,1,2476,1627,95,131,25.55960013,,
38,9,2439,518,79,68,2.694992828,,
38,2,2144,867,135,70,34.25204113,,
38,19,3342,737,48,29,5.515333256,,
38,5,2491,403,87,49,1.170531026,,
38,21,1967,148,36,99,35.70550554,,
39,12,3466,1910,176,98,0.552008832,,
39,20,3349,705,53,27,3.207146523,,
39,6,2476,454,88,52,0.509242034,,
39,13,1872,1227,49,84,14.96328446,,
39,4,2390,393,85,53,0.767742832,,
39,23,2686,696,69,35,13.60500557,,
39,8,2526,641,77,65,0.51072946,,
39,10,2690,659,90,52,2.581158148,,
39,15,3635,648,115,46,1.452534107,,
39,14,1744,1485,91,66,26.13731108,,
39,11,2313,627,91,135,2.655808262,,
39,3,2541,997,135,73,37.38231988,,
39,7,2826,649,83,58,1.896443486,,
